trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.9997584495250651}",20,0,-141.11810687547919,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.9997468106793046}",30,0,-149.6200331818604,"{0: 22, 1: 0, 2: 5, 3: 1, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.9997348980251154}",25,0,-127.47058832954488,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.9997227115657603}",25,0,-142.76706074383605,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.9997102513045768}",20,0,-173.35560541695983,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
47,False,"{'a': 0.5, 'e': 0.9996975172449775}",20,8,2.1673682530492258,"{0: 7, 1: 3, 2: 1, 3: 1, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.99968450939045}",20,0,-54.06642320581538,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.9996712277445567}",30,0,-60.674028272687096,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.9996576723109354}",35,0,-178.96833667030052,"{0: 20, 1: 3, 2: 10, 3: 1, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.9996438430932985}",20,0,-211.1388614863942,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
52,False,"{'a': 0.5, 'e': 0.9996297400954335}",30,0,-115.66698243484151,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.999615363321203}",20,3,-71.9727594305568,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 2}",1
54,False,"{'a': 0.5, 'e': 0.9996007127745443}",25,0,-98.61195274228012,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.9995857884594701}",30,0,-220.67990396207563,"{0: 15, 1: 2, 2: 9, 3: 2, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.9995705903800677}",20,0,-123.35016904245025,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.9995551185404994}",20,0,-96.40243357500334,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.9995393729450028}",20,0,-116.67701439387756,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.9995233535978901}",25,0,-160.26441176946506,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
60,False,"{'a': 0.5, 'e': 0.9995070605035489}",25,0,-139.99008318481359,"{0: 12, 1: 4, 2: 8, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.9994904936664413}",25,0,-128.60631252667676,"{0: 13, 1: 7, 2: 3, 3: 1, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.9994736530911045}",25,0,-210.25286921416145,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
63,False,"{'a': 0.5, 'e': 0.999456538782151}",20,5,32.21163590398574,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.9994391507442678}",20,0,-100.79274170087358,"{0: 11, 1: 4, 2: 2, 3: 3, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.9994214889822174}",25,0,-73.64315556180719,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.9994035535008366}",20,0,-87.45435182564219,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.9993853443050379}",25,0,-116.45945868850315,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.999366861399808}",25,15,4.855711679457151,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.9993481047902093}",35,0,-237.15817902743953,"{0: 18, 1: 3, 2: 10, 3: 2, 4: 2}",0
70,False,"{'a': 0.5, 'e': 0.9993290744813786}",25,0,-170.25787722756164,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
71,False,"{'a': 0.5, 'e': 0.9993097704785281}",25,0,-145.64232928929977,"{0: 11, 1: 5, 2: 8, 3: 0, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.9992901927869444}",25,0,-214.56190353756207,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 3}",0
73,False,"{'a': 0.5, 'e': 0.9992703414119898}",20,5,-9.322909874058055,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
74,False,"{'a': 0.5, 'e': 0.9992502163591007}",20,0,-107.22011185170334,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.9992298176337894}",25,0,-174.46575744106391,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
76,False,"{'a': 0.5, 'e': 0.9992091452416422}",30,0,-193.6124017980137,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
77,False,"{'a': 0.5, 'e': 0.9991881991883211}",20,0,-88.11753722318807,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.9991669794795627}",25,9,-39.98359069952352,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.9991454861211785}",30,0,-225.29936225769666,"{0: 17, 1: 3, 2: 5, 3: 2, 4: 3}",0
80,False,"{'a': 0.5, 'e': 0.9991237191190552}",20,0,-113.855015136865,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.9991016784791542}",30,11,-64.7845113654362,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 1}",1
82,False,"{'a': 0.5, 'e': 0.999079364207512}",20,0,-109.57465992560083,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.9990567763102398}",25,5,-28.226311738809123,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.9990339147935242}",30,0,-103.04849581908323,"{0: 21, 1: 1, 2: 6, 3: 2, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.9990107796636264}",30,0,-152.74422751287378,"{0: 18, 1: 1, 2: 7, 3: 4, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.9989873709268824}",30,0,-153.85045951723623,"{0: 17, 1: 1, 2: 11, 3: 0, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.9989636885897035}",30,0,-131.80383175506952,"{0: 21, 1: 2, 2: 3, 3: 3, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.9989397326585758}",20,0,-134.4529191081035,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
89,False,"{'a': 0.5, 'e': 0.9989155031400602}",25,0,-92.23218460232968,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.9988910000407927}",25,0,-134.92687688489644,"{0: 12, 1: 2, 2: 10, 3: 1, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.998866223367484}",20,0,-83.84541362218258,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.9988411731269201}",30,0,-169.05906218132543,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
93,False,"{'a': 0.5, 'e': 0.9988158493259616}",35,0,-199.1572331554583,"{0: 20, 1: 2, 2: 11, 3: 0, 4: 2}",0
94,False,"{'a': 0.5, 'e': 0.998790251971544}",20,0,-148.37344736121653,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
95,False,"{'a': 0.5, 'e': 0.998764381070678}",35,0,-191.10655477654345,"{0: 21, 1: 3, 2: 8, 3: 1, 4: 2}",0
96,False,"{'a': 0.5, 'e': 0.998738236630449}",25,0,-129.03472901340368,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
97,False,"{'a': 0.5, 'e': 0.9987118186580175}",25,13,-25.304246018852908,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
98,False,"{'a': 0.5, 'e': 0.9986851271606187}",20,0,-98.57497092068003,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.9986581621455628}",25,0,-317.60048292443656,"{0: 10, 1: 1, 2: 7, 3: 2, 4: 5}",0
100,False,"{'a': 0.5, 'e': 0.998630923620235}",20,0,-141.77105147662877,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
101,False,"{'a': 0.5, 'e': 0.9986034115920952}",35,27,41.436458388455065,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.9985756260686783}",25,0,-137.95856218871455,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
103,False,"{'a': 0.5, 'e': 0.9985475670575944}",20,0,-99.87414552646983,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.9985192345665279}",25,0,-117.80373330573187,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
105,False,"{'a': 0.5, 'e': 0.9984906286032388}",25,0,-138.62205381411462,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.9984617491755613}",20,0,-61.3666314170058,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.998432596291405}",25,0,-106.29367055882754,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 0}",0
108,False,"{'a': 0.5, 'e': 0.9984031699587543}",20,0,-67.39336961837535,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
109,False,"{'a': 0.5, 'e': 0.9983734701856682}",20,0,-66.1984038146765,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
110,False,"{'a': 0.5, 'e': 0.998343496980281}",30,12,-37.43375288772244,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 1}",1
111,False,"{'a': 0.5, 'e': 0.9983132503508017}",20,0,-59.38147301465672,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
112,False,"{'a': 0.5, 'e': 0.998282730305514}",20,0,-76.7676669404378,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
113,False,"{'a': 0.5, 'e': 0.9982519368527768}",20,0,-139.16895369490146,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
114,False,"{'a': 0.5, 'e': 0.9982208700010238}",20,0,-187.9510438741752,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 4}",0
115,False,"{'a': 0.5, 'e': 0.9981895297587633}",20,0,-124.49652940309213,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
116,False,"{'a': 0.5, 'e': 0.9981579161345788}",30,0,-177.05320374149326,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
117,False,"{'a': 0.5, 'e': 0.9981260291371287}",25,0,-256.8164635827376,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 5}",0
